iter	RMSE
0	7282.444325
1	6896.834229
2	6495.3866
3	6107.534415
4	5747.344706
5	5394.252153
6	5125.173625
7	4895.343097
8	4625.451478
9	4395.183167
10	4174.313796
11	3993.593738
12	3814.0572
13	3634.324936
14	3500.179493
15	3333.074984
16	3199.618467
17	3068.701622
18	2946.946256
19	2827.418077
20	2724.243573
21	2633.28042
22	2554.982036
23	2483.319922
24	2408.875959
25	2330.758208
26	2261.165269
27	2188.176164
28	2129.623345
29	2084.400138
30	2056.723864
31	2002.315197
32	1952.371846
33	1920.208667
34	1889.73842
35	1857.007592
36	1831.461307
37	1804.436726
38	1783.694386
39	1750.940131
40	1731.601626
41	1690.646623
42	1660.288767
43	1629.233649
44	1605.005957
45	1579.166523
46	1559.044018
47	1535.581129
48	1517.14206
49	1493.892407
50	1480.16147
51	1450.001771
52	1427.539328
53	1409.789606
54	1388.759919
55	1380.334948
56	1362.96849
57	1349.869041
58	1341.361759
59	1325.000086
60	1310.8222
61	1297.05498
62	1283.14456
63	1262.910708
64	1250.893199
65	1243.874883
66	1229.348065
67	1219.880432
68	1200.597918
69	1190.377515
70	1166.518784
71	1147.558074
72	1130.562654
73	1113.666974
74	1103.071586
75	1095.879993
76	1089.359837
77	1079.677054
78	1071.270379
79	1067.738717
80	1061.150188
81	1043.94127
82	1036.748925
83	1023.39578
84	1011.644025
85	1001.774674
86	992.6715033
87	983.6116802
88	977.7621743
89	971.4104265
90	965.866647
91	955.4110148
92	941.8759825
93	938.738779
94	935.3383719
95	925.678339
96	921.834774
97	919.5027382
98	913.9731761
99	909.960265
