iter	Passed	Remaining
0	3	370
1	6	326
2	9	301
3	12	300
4	15	296
5	18	286
6	20	278
7	23	274
8	26	270
9	29	267
10	32	262
11	35	257
12	38	254
13	40	251
14	44	249
15	46	246
16	49	243
17	52	238
18	54	231
19	57	228
20	60	227
21	63	223
22	65	219
23	68	217
24	71	215
25	74	212
26	78	212
27	81	210
28	84	207
29	87	204
30	90	202
31	93	199
32	96	196
33	99	192
34	101	189
35	104	186
36	107	182
37	109	178
38	111	173
39	113	169
40	115	165
41	117	161
42	118	157
43	120	153
44	122	149
45	124	145
46	125	141
47	127	137
48	129	134
49	130	130
50	132	127
51	134	123
52	135	120
53	137	116
54	138	113
55	141	110
56	143	107
57	144	104
58	146	101
59	148	98
60	149	95
61	151	92
62	153	89
63	154	87
64	156	84
65	158	81
66	160	78
67	161	76
68	163	73
69	165	70
70	166	68
71	168	65
72	169	62
73	171	60
74	173	57
75	175	55
76	176	52
77	178	50
78	180	47
79	181	45
80	183	43
81	185	40
82	187	38
83	188	35
84	190	33
85	192	31
86	194	29
87	195	26
88	197	24
89	199	22
90	201	19
91	202	17
92	204	15
93	206	13
94	207	10
95	209	8
96	210	6
97	212	4
98	214	2
99	215	0
